Family_AC,Family_ID,Description
RF00006,Vault,Vault RNA
RF00014,DsrA,DsrA RNA
RF00016,SNORD14,Small nucleolar RNA SNORD14
RF00018,CsrB,CsrB/RsmB RNA family
RF00019,Y_RNA,Y RNA
RF00021,Spot_42,Spot 42 RNA
RF00022,GcvB,GcvB RNA
RF00033,MicF,MicF RNA
RF00034,RprA,RprA RNA
RF00035,OxyS,OxyS RNA
RF00038,PrfA,PrfA thermoregulator UTR
RF00039,DicF,DicF RNA
RF00040,rne5,RNase E 5' UTR element
RF00041,Entero_OriR,Enteroviral 3' UTR element
RF00042,CopA,CopA-like RNA
RF00043,Plasmid_R1162,R1162-like plasmid antisense RNA
RF00045,SNORA73,Small nucleolar RNA SNORA73 family
RF00046,snoR30,Small nucleolar RNA R30/Z108
RF00047,mir-2,mir-2 microRNA precursor
RF00048,Entero_CRE,Enterovirus cis-acting replication element
RF00049,SNORD36,Small nucleolar RNA SNORD36
RF00052,lin-4,lin-4 microRNA precursor
RF00053,mir-7,mir-7 microRNA precursor
RF00054,SNORD25,Small nucleolar RNA SNORD25
RF00055,SNORD96,Small nucleolar RNA SNORD96 family
RF00056,SNORA71,Small nucleolar RNA SNORA71
RF00057,RyhB,RyhB RNA
RF00058,HgcF,HgcF RNA (Pab35)
RF00060,HgcE,HgcE RNA (Pab105)
RF00062,HgcC,HgcC family RNA
RF00063,SscA,SscA RNA
RF00064,HgcG,HgcG RNA (Pab40)
RF00065,snoR9,Small nucleolar RNA snoR9
RF00067,SNORD15,Small nucleolar RNA SNORD15
RF00068,SNORD21,Small nucleolar RNA SNORD21
RF00069,SNORD24,Small nucleolar RNA SNORD24
RF00070,SNORD29,Small nucleolar RNA SNORD29
RF00071,SNORD73,Small nucleolar RNA SNORD73
RF00072,SNORA75,Small nucleolar RNA SNORA75
RF00073,mir-156,mir-156 microRNA precursor
RF00074,mir-29,mir-29 microRNA precursor
RF00076,mir-181,mir-181 microRNA precursor
RF00077,SraB,SraB RNA
RF00078,MicA,MicA sRNA
RF00079,OmrA-B,OmrA-B family
RF00081,ArcZ,ArcZ RNA
RF00082,SraG,SraG RNA
RF00084,CsrC,CsrC RNA family
RF00085,SNORD28,Small nucleolar RNA SNORD28
RF00086,SNORD27,Small nucleolar RNA SNORD27
RF00087,SNORD26,Small nucleolar RNA SNORD26
RF00088,SNORD30,Small nucleolar RNA SNORD30
RF00089,SNORD31,Small nucleolar RNA SNORD31
RF00090,SNORA74,Small nucleolar RNA SNORA74
RF00091,SNORA62,Small nucleolar RNA SNORA62/SNORA6 family
RF00092,SNORA63,Small nucleolar RNA SNORA63
RF00093,SNORD18,Small nucleolar RNA SNORD18
RF00095,snoPyro_CD,Pyrococcus C/D box small nucleolar RNA
RF00096,U8,U8 small nucleolar RNA
RF00097,snoR71,Plant small nucleolar RNA R71
RF00099,SNORD22,Small nucleolar RNA SNORD22
RF00101,SraC_RyeA,SraC/RyeA RNA
RF00103,mir-1,mir-1 microRNA precursor family
RF00104,mir-10,mir-10 microRNA precursor family
RF00105,SNORD115,Small nucleolar RNA SNORD115
RF00107,FinP,FinP
RF00108,SNORD116,Small nucleolar RNA SNORD116
RF00109,Vimentin3,Vimentin 3' UTR protein-binding region
RF00110,RybB,RybB RNA
RF00111,SdsR_RyeB,SdsR_RyeB RNA
RF00112,CyaR_RyeE,CyaR/Rye RNA
RF00113,SIB_RNA,Short Intergenic Abundant RNA
RF00115,McaS,McaS/IsrA RNA
RF00116,C0465,C0465 RNA
RF00117,C0719,C0719 RNA
RF00118,rydB,rydB RNA
RF00119,C0299,C0299 RNA
RF00121,MicC,MicC RNA
RF00122,GadY,GadY
RF00124,IS102,IS102 RNA
RF00125,IS128,IS128 RNA
RF00126,ryfA,ryfA RNA
RF00127,t44,t44 RNA
RF00128,GlmY_tke1,Glm Y RNA activator of glmS mRNA
RF00129,mir-103,mir-103/107 microRNA precursor
RF00130,mir-192,mir-192/215 microRNA precursor
RF00131,mir-30,mir-30 microRNA precursor
RF00132,snoR24,Small nucleolar RNA R24
RF00133,SNORD33,Small nucleolar RNA Z195/SNORD33/SNORD32 family
RF00134,snoZ196,Small nucleolar RNA Z196/R39/R59 family
RF00135,snoZ223,Small nucleolar RNA Z223
RF00136,SNORD81,Small nucleolar RNA SNORD81
RF00137,SNORD83,Small nucleolar RNA SNORD83
RF00138,SNORD16,Small nucleolar RNA SNORD16
RF00139,SNORA72,Small nucleolar RNA SNORA72
RF00140,Alpha_RBS,Alpha operon ribosome binding site
RF00142,snoZ118,Small nucleolar RNA Z118/Z121/Z120
RF00143,mir-6,mir-6 microRNA precursor
RF00144,mir-199,mir-199 microRNA precursor
RF00145,snoZ105,Small nucleolar RNA Z105
RF00147,SNORD34,Small nucleolar RNA SNORD34
RF00149,snoZ103,Small nucleolar RNA Z103
RF00150,SNORD42,Small nucleolar RNA SNORD42
RF00151,SNORD58,Small nucleolar RNA SNORD58
RF00152,SNORD79,Small nucleolar RNA SNORD79
RF00153,SNORD62,Small nucleolar RNA SNORD62
RF00154,SNORD63,Small nucleolar RNA SNORD63
RF00155,SNORA66,Small nucleolar RNA SNORA66
RF00156,SNORA70,Small nucleolar RNA SNORA70
RF00157,SNORD39,Small nucleolar RNA SNORD55/SNORD39
RF00158,SNORD82,Small nucleolar RNA SNORD82
RF00159,snoZ168,Small nucleolar RNA Z168/Z174
RF00160,snoZ159,Small nucleolar RNA Z159/U59
RF00161,nos_TCE,Nanos 3' UTR translation control element
RF00165,Corona_pk3,Coronavirus 3' UTR pseudoknot
RF00170,msr,Retron msr RNA
RF00171,Tombus_5,Tombusvirus 5' UTR
RF00172,CAESAR,ctgf/hcs24 CAESAR
RF00173,Hairpin,Hairpin ribozyme
RF00176,Tombus_3_IV,Tombusvirus 3' UTR region IV
RF00178,mir-24,mir-24 microRNA precursor family
RF00179,GAIT,GAIT element
RF00180,REN-SRE,Renin stability regulatory element (REN-SRE)
